StatementId,Text
0f063bc761d6e4889818044fa8f17e24,"Tak už je před klíčovými říjnovými volbami do Sněmovny jasno v otázce přijetí eura v ČR. Koalice Pirátů a STAN potvrdila, že prosazují přijetí eura v ČR. A to samé potvrdila i koalice ODS, KDU-ČSL a TOP09, která jde také společně do voleb jako jeden subjekt. “Naše koalice přispěje k zavedení eura,“ řekl tento týden Miroslav Kalousek (TOP09). Také Andrej Babiš z hnutí ANO prosazuje přijetí eura. “Česko vstoupí do eurozóny až po reformě EU”, řekl nedávno Babiš, aniž by upřesnil, co má konkrétně na mysli tou “reformou EU”. Přijetí eura prosazuje také ČSSD. Ukazuje se, že pakliže zvítězí výše uvedené strany, tak zcela reálně hrozí přijetí eura v ČR v příštím volebním období. A opakovaně se potvrzuje, že hnutí SPD je jedinou parlamentní stranou, která je programově PROTI přijetí eura v ČR, protože to není pro naši republiku a pro naše občany výhodné. V této souvislosti si vzpomínám na nedávné vyjádření Václava Klause ml. z Trikolóry, který řekl, že vystoupení z EU je dětinské a zopakoval tak slova svého otce. Podpořte prosím SPD ve volbách, ať je náš hlas ve Sněmovně co nejsilnější, abychom mohli zabránit přijetí eura v ČR.  A pojďme k druhému tématu. Džbán s předstíranou demokracií se v USA utrhl. Násilí v Kapitolu paradoxně poslouží nejvíce, jako záminka k dalšímu omezení práv lidí, další regulaci a kontrole. Nová administrativa si nemohla přát lepší scénář umožňující upevnit moc získanou ve volbách, které vzbuzují řadu podezření z podvodné manipulace. Důvěra lidí, že volby jsou zásadním a účinným nástrojem jak nezvolit, nebo naopak zvolit své zástupce, jsou červenou linií demokracie. Jak tato důvěra zmizí, zmizí i demokracie a nastupuje totalita a násilí. To je zákon politiky. V USA tato důvěra zmizela. Každý kdo se podílel a podílí na manipulaci voleb, nese zásadní odpovědnost za konec demokracie. Spravedlivé volby jsou zásadní pro existenci demokracie jako způsobu vlády občanů.   A třetí dnešní téma. Vláda mění parametry pro výpočet skóre PES a ministr zdravotnictví konečně vyslyšel naše dlouhodobé volání, aby se sledovali nemocní, nikoli zdraví, a nový index bude sledovat počty hospitalizovaných. Je tristní, že systém PES, podle kterého je nucena se řídit celá republika, vláda nastavila před měsícem chybně. A znovu opakuji, vláda by se měla soustředit primárně na ochranu 17% ohrožených spoluobčanů a ostatní většinu, což je 83% populace, která není ohrožená, nechme žít a pracovat při základních opatřeních. Takové řešení prosazují i renomovaní epidemiologové. Když nebude fungovat ekonomika, tak nebudou peníze ani na zdravotnictví a na sociální služby. A všichni při pohledu na obrovsky deficitní státní rozpočet vidíme, že stát nemá dostatečné peníze na adekvátní kompenzace zaměstnancům, živnostníkům a firmám postiženým vládními opatřeními, a naše republika se octla na hraně ekonomické propasti. V této souvislosti je tristní, že podle dnešního sdělení ministryně financí Aleny Schillerové z hnutí ANO, vláda za loňský rok nedokázala vyčerpat z odsouhlaseného státního rozpočtu všechny peníze určené na kompenzace. A to v situaci, kdy lidé přichází o práci, zadlužují se a firmy krachují. Slibuji, že SPD bude nadále z opozice tlačit na vládu, abychom pomohli zaměstnancům, živnostníkům a českým firmám."
0f66d8cddcd8ba53532451ecd8714c55,"Zrušení daně z nabytí nemovitosti navrhovala ODS ve Sněmovně opakovaně. Ministryně Schillerová dala k návrhům vždy negativní stanovisko. Je dobře, že otočila. Škoda jen, že místo rychlého předložení a schválení o tom jen dlouze mluvila v médiích a přispěla k zamrznutí trhu."
0f78ddb8b07c148c64be398e612f0e66,"Ve státní těžařské firmě OKD si 11 nejvyšších manažerů vyplatilo odměny 64 mil. Kč! Přitom OKD bylo za loňský rok ve ztrátě 861 milionů korun. OKD spadá pod Ministerstvo financí. Plnou odpovědnost nese ministryně financí Schillerová (ANO). SPD k bude situaci s ministryní řešit. https://t.co/N65ASfscEz"
119461329B1B54F6E116486DFFDE73E2,"Z dnešního hlášení. Stravenky. Alena Schillerová to Josefu Středulovi v novinách nedarovala a otevřeně se ho zeptala, za koho teda vlastně kope. A ještě to rozvinula u sebe na Facebooku."
126d75b698cd48bfcdc0d61365836a87,"100 miliard, 200 miliard, 300 miliard, 500 miliard… Ministryně Schillerová požaduje neustálé navyšování dluhu, „přihazuje“ po stovkách miliard.  Je vidět, že to vláda nemá vůbec propočítané, že nemá plán. A k běžným lidem, kteří dnes potřebují pomoc, se dostal jen zlomek peněz. To není správné. Cesta, jak postavit Česko na nohy je jasná: https://www.ods.cz/manual-pro-obnovu-ceska"
129e81332d066fb6d0fe76706aa5b8fd,"Je členství v EU pro ČR výhodné? Diskuse Okamura, Kalousek, Schillerová! https://t.co/Nw1KuHPmS7 prostřednictvím @YouTube"
14a136b4dba3edee9ca1f1b5e24f5368,"Alena Schillerová odmítá  TUPÉ ŠKRTY  a Karel Havlíček chce  MASIVNĚ  investovat! Aktuální trendy výrazy ze slovníků českých politiků. Lepší nebo horší než ponožky v sandálech? Zábavné odlehčené počtení po ránu 😊👍"
14aaf2ff2be220a77537282ed71875b8,"Zklamáním pro mne byla negativní reakce ministryně financí Schillerové (ANO) na návrh SPD, aby podnikatelé neplatili státu DPH z nezaplacených faktur. To je zlodějina od státu, kdy z faktury, za kterou podnikatel neobdržel platbu a má ztrátu, musí státu ještě zaplatit daň...👎🏻 https://t.co/2VkBjqTNGC"
153d7df24c9470d87bd8e044c4ced064,"Žádal jsem při projednávání daňového balíčku, ať paní ministryně Schillerová na konkrétních příkladech lidí, co mají průměrné příjmy, děti a například hypotéku prokáže, že je zrušení superhrubé mzdy tak výhodné jak to prezentuje!  Nic mlčela, protože by to argumentačně prohrála!"
164BF571588CC4B098C7B98BF1156B38,"Vláda ANO, ČSSD a KSČM se rozhodla koupit vrtulníky z USA. Česká republika zaplatí 14.5 miliardy korun za 4 bitevní vrtulníky a 8 víceúčelových vrtulníků. Jde o typ, který používá námořní pěchota USA při svých invazních expedicích. Je jasné, že tento obchod je jedním z výsledků návštěvy premiéra Babiše v Bílém domě. Velmi draze zaplacená fotka s americkým prezidentem. Jde o doslova vyhozené peníze. Tato mini série vrtulníků je evidentně určena pro zajištění účasti české armády na expedicích USA. Pro vlastní obranu naší země nemají žádný význam. Jejich provoz bude drahý, protože zde není logistika zajišťující jejich údržbu a funkčnost. Hnutí SPD odmítá slepé následování USA do válečných konfliktů mimo obranu spojenců. Pro zajištění obrany ČR jsou tyto vrtulníky zbytečnou investicí.   Polsko a Maďarsko se rozhodlo modernizovat vrtulníky Mil a naše země mohla zvolit stejné řešení. Modernizační potenciál těchto vrtulníků zavedených v naší armádě je reálný a jejich modernizaci, provoz, logistiku i opravy plně zvládají české firmy. Šlo by o několikrát levnější řešení zajišťující potřeby obrany země. Je nehorázné, že prakticky ve stejnou dobu ministryně financí Schillerová (ANO) deklaruje záměr prodloužit dobu odchodu do penze pro pracující občany. Věk 65 let je prý finančně neudržitelný. Je to prostě lumpárna na lidi, kterou zorganizovala vláda. Peníze jsou! Nekupujte expediční vrtulníky za 14,5 miliardy a seberte politickým neziskovkám peníze a máte skoro 30 miliard na stabilizaci penzijního systému. Zrušte nákup bojových vozidel v zahraničí za plánovaných 50 miliard a modernizujte je jako Slovensko. České firmy mohou stávající bojová vozidla zavedená v armádě modernizovat na úroveň funkční pro potřeby obrany země. Vznikne možnost desítky miliard investovat do podpory a snížení daní pro pracující rodiny s dětmi. Přijde na svět více českých dětí, a protože na důchod si nešetříme, ale platí nám ho naše děti, bude stabilizován penzijní systém.   Hnutí SPD odmítá plány na prodloužení věku odchodu do důchodu. Jsme politická síla, která nemění svůj program a drží své slovo. Neděláme politiku v zájmu byznysu nadnárodních zbrojařských korporací, ale v zájmu lidí."
173ab6f30799b2cf3bb321a237920c24,"Návrh zrušit superhrubou mzdu by znamenal pro miliony zaměstnanců snížení daní, pro stát však velký růst dluhu. „Teď potřebujeme do ekonomiky napumpovat peníze,“ tvrdí v rozhovoru ministryně financí Alena Schillerová. https://t.co/LYntfUBLmq"
176DFCEA7404EE261396D09FD0AEA6AD,"Čau lidi, asi jste si všimli, že celý týden řešíme RODIČÁK. Rodičovský příspěvek. Jedu teď z Olomouce, kde jsem se po mši potkal se třemi maminkami a povídali jsme si víc než hodinu. Návrh na rodičák považují za nespravedlivý, problém je taky v nedostatku jeslí, dětských skupin a jejich ceně, která je často stejná jako příjem za práci na poloviční úvazek. Dětských skupin je málo, hlavně kvůli tvrdým hygienickým požadavkům, ne všude je záchod a umyvadlo pro malinké, ale to by se snad dalo překonat.   Asi jste si všimli, že to je obrovské téma. A teď vám řeknu, co přesně se stalo. Fakta. Celý příběh.  RODIČÁK.   V pondělí jsme měli koaliční radu s ČSSD, kde jsme domluvili víc věcí. Hlavně navýšení důchodů o 900 Kč, jak jsem to navrhnul už v lednu. K tomu jsem musel přesvědčit hlavně naši ministryni financí, protože jinak bychom náš slib, průměrný důchod 15 000 korun v roce 2021, nikdy nesplnili. A to by prostě nebylo spravedlivé.   Další bod, ČSSD chtěla, abychom podpořili jejich návrh zálohového výživného, se kterým jsme nesouhlasili. Řekli jsme, že nebudeme platit za nezodpovědnost lidí, kteří si nadělají děti, potom se o ně nestarají a nechtějí za ně platit, i když by samozřejmě měli. Důvod je jasný, musí přece fungovat vymahatelnost práva a stát musí donutit neplatiče, aby začali matkám platit. Šli jsme ale nakonec na kompromis, s tím, že můžeme zatížit rozpočet do výše maximálně 1,2 miliardy korun a zálohové výživné tedy platit, ale za podmínky, že zpřísníme pravidla pro vymáhání. A že náš ministr spravedlnosti připraví pravidla, kterými znepříjemníme neplatičům výživného život tak, aby si svoji nezodpovědnost rozmysleli.   A proč jsme na něj šli? Protože ČSSD přišla sama s návrhem, že rodičák od 1.1. 2020 nebude vyplácet zpětně, ale jen těm, kterým se narodí dítě v roce 2020.    Ano, byl to návrh pana Hamáčka, se kterým po krátké konzultaci paní Maláčová souhlasila. Pan Hamáček i paní Maláčová byli s výsledkem rady spokojení a všude to propagovali, koukněte třeba na jejich tiskovku po koaliční radě. A napsali si to na sítě, třeba tenhle nadšený tweet paní Maláčové:   „Skvělá zpráva, důchody stoupnou v příštím roce o 900 Kč, rodičovský příspěvek se zvýší na 300 000 Kč pro nově narozené od 1.1. 2020, na neplatiče výživného čekají tvrdší tresty od stejného data a zálohované výživné bude od 1.1. 2021. Dnešní koaliční rada přinesla průlom.“   Ano, přesně takhle zněl kompromis z koaliční rady. Byli jsme z návrhu ČSSD velice překvapeni, byl totálně v rozporu s tím, co chtěli předtím, ale zároveň rádi, že to máme za sebou.   Co bylo dál, všichni víme. Zvedla se obrovská vlna odporu maminek a tatínků.   Hned další den mě paní ministryně Maláčová dost překvapila. Napsala si na Facebook: „Všichni víte, že za navýšení rodičovského příspěvku na 300 tisíc pro všechny rodiče dětí do čtyř let jsem od začátku bojovala. Nedokázali jsme ale přesvědčit hnutí ANO.“   Přesvědčit hnutí ANO? Co je to za nesmysl? Vždyť to navrhla sama ČSSD! Vůbec nás nepřesvědčovali.   Původní stanovisko ministryně Schillerové ke slibu Maláčové bylo dát 300 000 Kč všem maminkám, které nevyčerpaly k 31.12.2019 částku 220 000 Kč. Tam by byl dopad na rozpočet 8,6 miliardy korun.   Hlavní problém dnešní koalice je, že ministryně Maláčová permanentně něco slibuje, potom mění názor a navrhuje něco úplně jiného. To, co navrhuje, nemá většinou koaličně odsouhlasené a nemá na to peníze a ani se je nesnaží dát z úspor vlastní kapitoly. Prostě to navrhne a doufá, že to někdo zaplatí. Přitom na jejím ministerstvu práce a sociálních věcí jsou obrovské rezervy v IT, v externích nákladech pro poradenství a samozřejmě, měla by řešit zneužívání sociálních dávek. Mám pocit, že slyším pana Špidlu, mimochodem poradce paní ministryně Maláčové: “Zdroje tu jsou.”   Ale je potřeba si uvědomit, že zdroje nejsou nekonečné. Hnutí ANO hospodaří zodpovědně, snížili jsme dluh, máme přebytkový rozpočet, protože samozřejmě nechceme poškodit příští generace.   No nic.    Je pravda, že v té chvíli mě nenapadlo, co po té koaliční radě nastane, jaký to bude mít celkově dopad. Matka, která porodí vteřinu před Silvestrem 2019, dostane 220 000 Kč. Porodí po Silvestru, má 300 000 Kč. Je to samozřejmě nespravedlivé a chápu rozhořčení maminek i tatínků. Ale mrzí mě že tady vzniká atmosféra, jako bychom brali lidem peníze. My jim je přitom navyšujeme! To navýšení je přece 36 %, z 220 000 na 300 000 korun!   Samozřejmě, jako vždycky budu hledat řešení. A potkám se i s maminkami a tatínky ze skupiny  Chceme spravedlivý rodičovský příspěvek! , obrátil se na mě jejich zástupce Martin Štros. Vyslechnu si každého. Rád se potkávám s lidmi, to všichni víte.   Protože hnutí ANO je tu pro všechny. A mladé rodiny samozřejmě podporujeme  a chceme zlepšit jejich životní úroveň. Od začátku, od roku 2014, co jsem nastoupil do vlády, šlo na rodinnou politiku, školkovné a daňové zvýhodnění pro rodiny s dětmi celkem 40 miliard korun. Jen tenhle rok jde na školkovné 1,3 miliardy, na slevu na druhé a další dítě 8,9 miliardy, na slevu na děti a manželku pro ty z vás, kteří používáte výdajové paušály, další 1,3 miliardy korun. Z kterých těží všichni rodiče a zvlášť ti pracující. Udělali jsme to naprosto konkrétně a promyšleně.   Tak myslím, že teď snad už všichni chápete.   A teď dobrá zpráva.    Jsme 20. nejšťastnější země na světě! Oficiálně! Před týdnem vyšla Světová zpráva o štěstí, která zkoumá, jak jsou spokojení lidi ve 156 zemích světa. Zprávu vydávají Spojené národy a pracují na ní nezávislí experti z celého světa. A jak si myslíte, že obstála naše země? Asi podle toho, jak se sami cítíte. To je logické. Každopádně report říká, že podle měření z let 2016-2018 jsou Češi na 20. místě. A když vezmete naše sousedy z V4, tak Slováci jsou na 38., Poláci na 40. a Maďaři na 62.   Řeknu to ještě jednou. Jsme dvacátý nejspokojenější národ na světě. Až za námi jsou Francouzi, Španělé, Italové a další evropské národy.   Co mě zvlášť těší, že jsme šťastnější nejen oproti ostatním zemím, ale hlavně ve srovnání sami se sebou v minulém roce. Centrum pro výzkum veřejného mínění Sociologického ústavu Akademie věd ČR zjistilo, že zhruba půlka lidí u nás je spokojená se svou ekonomickou situací. Skočilo to nahoru o čtyři procenta oproti loňsku. A to mi přijde dost slušné.    Zejména, když neustále čtu, že opozice a různí kritici říkají, že plýtváme a rozhazujeme. Ale my přece nerozhazujeme, ale investujeme peníze do lidí, navyšujeme peníze do vědy a výzkumu, na obranu i investice. A rodinám jsme se věnovali i za minulé koaliční vlády. Čtyřikrát jsme je daňově zvýhodnili. Snížili jsme daně pro kojeneckou výživu. Taky jsme snížili daně na tištěné knihy. Na rodinnou politiku šlo od roku 2014 celkem 40 miliard.    Jasně, na pocitu spokojenosti se podílí tisíce různých věcí, že vláda má vliv jenom na některé. A to je hlavně pocit bezpečí. Třeba, že jsme zabránili kvótám a uhájili naši zemi právo rozhodovat, kdo tady bude žít a pracovat. Zároveň bojujeme proti ilegální migraci do Evropy. Takže se díky tomu cítíme bezpečněji, než třeba Belgičané, Nizozemci, Francouzi nebo Britové.    Na pocitu spokojenosti se možná podílí i to, že jsme ulevili lidem a firmám na daních 100 miliard za pět let, přitom zlepšili jejich výběr, takže je víc peněz na investice, vzdělávání, vědu zdravotnictví. Nebo, že jsme rekordně zvýšili důchody.   Pár čísel od mého vstupu do vlády 2014 za 7 let včetně rozpočtu 2020: Navýšila se roční částka pro důchodce o 124 miliard korun. Díky našim výběrům daní se za toto období 7 let navýšil příjem obcí a krajů o 100 miliard. Rozpočet pro platy státních zaměstnanců (učitelé, policisté, vojáci, hasiči – profese, které potřebujeme každý den) stoupl za dané období o 102 miliard. Zdravotnictví – pro dostupnou a kvalitní zdravotní péči a hlavně pro sestřičky, lékaře a pomocný zdravotnický personál přiteče za dané období o téměř 85 miliard víc. Do školství celkem 77 miliard navíc. Přitom jsme v tomhle období snížili daně o 100 miliard. Zároveň jsme snížili dluh a měli přebytkový rozpočet.   A další snížení je na cestě! Součástí novely zákona o EET je novela zákona o DPH, kde snižujeme sazby, díky kterým Vám zůstane v kapsách dalších 3,4 miliardy! Připomínám vodné a stočné! Díky cenovému výměru ministerstva financí se postaráme, abyste z toho měli užitek všichni. Není přece možné, aby voda v ČR byla dražší než v Izraeli!  Takže se teda ptám, prosím vás, jaké plýtvání? Příjmy občanů jsou podle opozice a některých ekonomů plýtvání?!    No a jak už jsem psal a ještě to zopakuju, na tu spokojenost má vliv i pocit bezpečí. O tom asi nikdo nepochybujeme a já jsem moc rád, že jsem mohl vystoupit na konferenci Bezpečné Česko, kterou pořádala Univerzita Karlova v Plzni. Měl tam projev pan rektor Tomáš Zima a byla pro mě čest, že jsem mohl pronést pár slov i já.   Některé žebříčky nás ukazují jako šestou nejbezpečnější, jiné jako sedmou nejklidnější zemi na světě. A potvrzují to i miliony turistů, kteří se k nám touží každý rok podívat. Minulý rok padl rekord. Přes Letiště Václava Havla k nám přicestovalo 16,7 milionů turistů. Ukazuje se, jak je bezpečí obrovská hodnota. A my ji budeme dál hájit. Sledujeme mnohem striktněji než někteří naši sousedi, kdo k nám přichází, a nepolevíme v tom. Zároveň jsme aktivní a vystupujeme v Evropě s návrhy, jak chránit náš kontinent jako celek a jak bojovat proti ilegální migraci.   Během mého projevu na konferenci Univerzity Karlovy jsem se snažil shrnout všechno, co s naší bezpečností a svobodou souvisí. Třeba závislost na surovinách, výroba potravin, vodní zdroje, energetika, data.   Naprosto zásadní pro naši zemi je budoucnost automobilového průmyslu. Ten se totiž podílí skoro deseti procenty na našem HDP a tvoří čtvrtinu našeho exportu, 26 % našeho průmyslu. Patříme mezi automobilové velmoci a výpadky produkce v této oblasti by pro nás měly nepříjemné dopady. I proto jsem při jednání s Donaldem Trumpem zdůrazňoval, že zvýšení tarifů pro dovoz evropských aut by nám fakt hodně, hodně zkomplikovalo život.   A jsem hrozně rád, že jsem mohl tenhle týden zase zavítat do Mladé Boleslavi. Škoda Auto tam totiž hostila už II. kolokvium o budoucnosti automobilového průmyslu v České republice. Setkali se tu průmyslníci s členy vlády a hlavními zástupci podnikatelů. Řešili jsme nejnovější trendy. S Karlem Havlíčkem, naším místopředsedou Rady pro výzkum, vývoj a inovace, jsme opět představili hlavní pilíře Inovační strategie, která zahrnuje i budování takzvané chytré infrastruktury. Ta je totiž nezbytná jak pro přechod na bateriová nebo vodíková auta, tak pro testování autonomních vozidel.   Škoda je srdcovka naší země. Moc se proto těším jak na hybrid Superba, tak na čistě elektrické Citigo. Je to neuvěřitelné, ale do dvou let by měly být na trhu další dva takové vozy, sériový Vision iV a jeho SUV verze.   V této oblasti nás čeká v dalších letech opravdová revoluce, celé odvětví projde velkými změnami a kdo nebude připraven, bude mít velké problémy. Proto investujeme do umělé inteligence, proto podporujeme nebývalým způsobem výzkum a vývoj, proto prezentujeme při každé zahraniční návštěvě Českou republiku, jako zemi budoucnosti a ukazujeme, že připravení budeme.   Samozřejmě se bavíme o vládní podpoře pro nákup elektromobilů. Investovali jsme už víc jak miliardu korun na výstavbu dobíjecích stanic, další zdroje dáváme na infrastrukturu pro města, motivujeme pro nákup elektrovozů obce i podnikatele.    Je to trend, který nezpochybňujeme. Jasně jsem ale řekl, že všechno musí jít přirozenou cestou a že se nenecháme Evropou tlačit ke zdi kvůli nereálným ambicím na snížení emisí. Na jednu stranu je dobře, že se EU angažuje, ale měla by se taky soustředit na to, aby přesvědčila i ostatní velmoci o tom, aby řešily změnu klimatu. Nemůžeme být jediní, kteří zachraňují planetu. Nesmíme dopustit ohrožení našeho průmyslu a pracovních míst. Všichni ví, že hlavní problém s emisemi má Čína a USA a další.   S Karlem Havlíčkem a mojí náměstkyní na Úřadu vlády, paní Tünde Bartha, jsme ještě jednali s šéfem Americké obchodní komory Westonem Staceym. Připravujeme návštěvu amerických investorů, kterým chceme nabídnou využití našich výzkumných kapacit. Jasně všem říkáme, že doba investičních pobídek skončila. Podporu může očekávat jenom ten, kdo podpoří naši vědu. V Americe to od nás slyšeli šéfové nejvýznamnějších firem. A zafungovalo to. Letos dorazí k nám a my už jim připravujeme program.   Samozřejmě pro nás bude vždycky nejdůležitější evropský trh. Tenhle týden zasedala Evropská rada, takže jsem strávil dva dny v Bruselu. A i když bylo hlavní téma brexit, zorganizoval jsem si to tak, abych stihl projednat i víc témat, která jsou klíčová pro naše lidi a naše firmy.   Ještě před zahájením summitu jsem s ostatními premiéry V4 zasedl ke stolu s paní komisařkou pro obchod Cecilií Malmströmovou. A řešili jsme samozřejmě cla na evropská auta, kterými hrozí USA. A hlavně taktiku a strategii vyjednávání se Spojenými státy.   Už asi tři hlášení dozadu jsem vám psal, že jsem se o tom osobně bavil s prezidentem Donaldem Trumpem. Co mě šokovalo, že paní komisařka nemá ještě schválený mandát Evropskou radou k vyjednávání a nikdo z nás nedostává podrobné informace o její strategii. Je nutné, aby dostala jasný oficiální mandát k vyjednávání, který by umožnil zahájit jednání co nejdřív. K tomu jsem vyzval i Evropskou radu a vícero premiérů mělo stejný názor. Aby se nám nestalo, že se za našimi zády domluví USA s Čínou a naše pozice bude ještě horší než doteď.    No, a pak už byl čas na jednání s paní premiérkou Theresou Mayovou, která přijela s žádostí o odložení brexitu. Debatovali jsme s ní hodinu a nedozvěděli jsme se od ní nic nového. Všichni jsme čekali, že přijde s konkrétními návrhy na další postup, ale je vidět, že ani sami Britové si nejsou jistí, co se v následujících týdnech stane. Může přijít fakt cokoli. Třeba padne vláda nebo si britský parlament pro sebe odsouhlasí větší kompetence, můžou být předčasné volby, nebo se ještě Britové rozhodnou zůstat.    Celá debata o brexitu trvala 8,5 hodiny a nakonec jsme zvolili asi nejlepší a zároveň hodně velkorysé řešení. POKUD příští týden britský parlament odsouhlasí tu verzi dohody o brexitu, na které se 2,5 roku tvrdě pracovalo a vyjednávalo, souhlasíme s odložením brexitu do 22. května. Pokud by to ale příští týden britský parlament neschválil, dostane Británie termín jen do 12. dubna. A potom musí jasně říct, co chce a dát záruky za to, že to naplní.   Všichni si uvědomujeme, že divoký brexit bez dohody je nejhorší varianta pro všechny.   Další den jsme se potkali s premiéry Islandu, Lichtenštejnska a Norska. Dál jsme řešili vnitřní trh, obchodní politiku, vztahy s Čínou a USA a samozřejmě taky otázky kybernetické bezpečnosti v souvislosti se zaváděním nových mobilních sítí 5G. Vyzval jsem kolegy ke společnému postupu z hlediska přístupu k bezpečnosti těchto chystaných sítí, protože si myslím, že kybernetická bezpečnost v souvislosti s užíváním a provozováním nových technologií, sítí a infrastruktury je problémem nás všech. Informoval jsem kolegy, že ČR organizuje konferenci ohledně bezpečnosti v rámci těchto sítí a technologií, a také jsem všechny požádal, aby na tuto konferenci vyslali své zástupce na úrovni expertů.    Svobodný a fungující vnitřní trh je něco, za co nikdy nepřestanu bojovat. Vždyť ho chtěla mít Evropská unie už před 30 lety, a pořád nefunguje. Stále tu jsou zbytečné překážky, které poškozují naše společnosti, živnostníky, dopravní firmy, občany. Brání naší zemi být skutečně konkurenceschopná vůči ostatním státům EU.   Řeč přišla i na klima. To je další věc, ve které se s některými politiky absolutně neshodnu. Někteří chtějí jít v omezeních evropského průmyslu ještě dál, než co předepisuje Pařížská dohoda. Že to je naprostý nesmysl, když hlavní znečišťovatelé téhle planety USA a Čína neberou žádné ohledy, jsem vám psal už výš v tomhle hlášení. Musíme nejdřív najít společnou řeč, ne snižovat výkonnost našeho průmyslu.   Jednali jsme i v rámci ALDE, jednal jsem s jejím předsedou panem Guyem Verhofstadtem, jednal jsem i s norskou premiérkou paní Ernou Solbergovou o tématech spolupráce s ČR, čerpání norských fondů a brexitu, vztazích s USA, perspektivě těžby zemního plynu. Byly to náročné dva dny. Dával jsem vám sem fotky, takže máte asi představu.   Tak a teď ještě pár věcí z domova vám chci říct.    Vydali jsme na vládě nařízení, aby se vězňům zvýšily odměny za práci na 50 procent minimální mzdy. Někomu může přijít divné, proč přidáváme i vězňům, ale my jsme přece už před lety rozjeli projekt, aby se vězni naučili pracovat. A taky, aby byli schopni splácet i za mřížemi svoje dluhy, které nasekali na svobodě. Vězení má sloužit k tomu, aby se člověk polepšil, ne aby chodil do fitka, díval se na televizi a “sbíral kontakty.” My učíme vězně pracovat a získávat kvalifikaci na trhu práce. A díky tomu spousta lidí zjistí, že třeba truhlařinou se dá vydělat víc než vytrháváním měděných kabelů. A to nemluvím třeba o alimentech, na které díky naší politice můžou odsouzení vydělat i ve vězení.   Teď už v rychlosti. Měl jsem setkání s předsedou odborů Kovo panem Jaroslavem Součkem kvůli huti Pilsen Steel Plzeň, kde je kvůli insolvenci ohrožených 700 pracovních míst. Jednal jsem se zástupci Gratia futurum 913 o zlepšení finanční situace v oblasti pobytových sociálních služeb. O setkání s Martinou Sáblíkovou jsem vám psal obšírně v samostatném příspěvku a ještě dával myslím moc pěkné video. Kdo jste neviděli, koukněte, mluvíme tam i o novém stadionu. U jednání byl i pan trenér Petr Novák a náš vládní zmocněnec pro sport Milan Hnilička. Měl jsem schůzku se zástupci Philip Morris a bavili jsme se mimo jiné o jejich továrně v Kutné Hoře. Byl jsem na Výboru pro Evropskou unii ve sněmovně a taky v Senátu a všechny jsem informoval o tom, jaký mi schválila česká vláda mandát, a jak budu postupovat na Evropské radě, kde se měl řešit Brexit a další důležité věci.   Zástupci naší vlády jednali se zástupci Svazu měst a obcí o rekodifikaci stavebního práva, rozpočtovém určení daní, kůrovcové kalamitě a lesnictví nebo financování regionálního školství.  A pozor. Taky mi volal cestovatel pan Miroslav Zikmund, který mi poděkoval za přání ke sto letům a říkal, jestli by nemohli mít století výjimku z podávání daňového přiznání, že prý na něm právě sedí.   Uf. Hotovo.   A dneska večer ve 21h mě čeká Xaver Live. To si to určitě zapněte. Luboš Xaver Veselý má vždycky plno témat. Bude to nabité.   Mějte se moc hezky, jdu na vaše otázky 🤓"
